Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00646;Venusbogen;;530851228.000,6071902335.000 ;530851727.000,6071900379.000 
Stadt Flensburg;00646;Venusbogen;;530851194.000,6071932754.000 ;530844378.000,6071934261.000 
Stadt Flensburg;00646;Venusbogen;;530851194.000,6071962789.000 ;530851650.000,6071960799.000 
Stadt Flensburg;00434;Neuer Weg;46;530851193.000,6071991541.000 ;530844440.000,6071987981.000 
Stadt Flensburg;00012;Altvaterweg;1;529479972.000,6072042951.000 ;529478797.000,6072040328.000 
Stadt Flensburg;00012;Altvaterweg;5;529515338.000,6072078911.000 ;529509333.000,6072077653.000 
Stadt Flensburg;00270;Hesttoft;;529743506.000,6072110468.000 ;529744352.000,6072109750.000 
Stadt Flensburg;00270;Hesttoft;;529747842.000,6072086666.000 ;529741757.000,6072081339.000 
Stadt Flensburg;00012;Altvaterweg;5;529502251.000,6072061121.000 ;529502891.000,6072058748.000 
Stadt Flensburg;00195;Fruerlundhof;;529667479.000,6072089866.000 ;529670244.000,6072089054.000 
Stadt Flensburg;00195;Fruerlundhof;;529672315.000,6072069285.000 ;529666513.000,6072065064.000 
Stadt Flensburg;00195;Fruerlundhof;;529671071.000,6072047468.000 ;529666287.000,6072044960.000 
Stadt Flensburg;00530;Sudetenweg;1;529500699.000,6072099393.000 ;529496121.000,6072095408.000 
Stadt Flensburg;00530;Sudetenweg;3;529478005.000,6072118534.000 ;529471928.000,6072116955.000 
Stadt Flensburg;00530;Sudetenweg;;529465689.000,6072135582.000 ;529459849.000,6072134327.000 
Stadt Flensburg;00530;Sudetenweg;;529447385.000,6072157391.000 ;529443777.000,6072150954.000 
Stadt Flensburg;00530;Sudetenweg;;529434461.000,6072174148.000 ;529437116.000,6072176095.000 
Stadt Flensburg;00360;Lausitzer Weg;;529431538.000,6072103867.000 ;529439303.000,6072113649.000 
Stadt Flensburg;00360;Lausitzer Weg;;529455765.000,6072120386.000 ;529451099.000,6072122671.000 
Stadt Flensburg;00657;Wasserlooser Weg;;530844009.000,6072751508.000 ;530845321.000,6072749841.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;105;530702309.000,6072382897.000 ;530695850.000,6072384326.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;105;530667344.000,6072356803.000 ;530660284.000,6072350764.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530621068.000,6072291955.000 ;530622227.000,6072292419.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530647370.000,6072336831.000 ;530648408.000,6072335635.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530737756.000,6072381928.000 ;530729380.000,6072381330.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530770952.000,6072421482.000 ;530771634.000,6072422314.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530796749.000,6072442027.000 ;530797785.000,6072442471.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530822749.000,6072462306.000 ;530823469.000,6072462722.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530848963.000,6072482323.000 ;530845443.000,6072483047.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;122;530871650.000,6072499698.000 ;530868144.000,6072500004.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;123;530800309.000,6072484560.000 ;530802729.000,6072484393.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;123;530786292.000,6072501082.000 ;530781064.000,6072505526.000 
Stadt Flensburg;00301;Jupiterweg;;530887317.000,6072436258.000 ;530888318.000,6072436067.000 
Stadt Flensburg;00301;Jupiterweg;;530888496.000,6072403254.000 ;530889813.000,6072402767.000 
Stadt Flensburg;00301;Jupiterweg;53;530903958.000,6072421387.000 ;530903885.000,6072423120.000 
Stadt Flensburg;00638;Uranusweg;;530908784.000,6072386984.000 ;530906916.000,6072383999.000 
Stadt Flensburg;00638;Uranusweg;;530879483.000,6072377505.000 ;530876720.000,6072379889.000 
Stadt Flensburg;00638;Uranusweg;;530806453.000,6072374132.000 ;530805210.000,6072375462.000 
Stadt Flensburg;00638;Uranusweg;;530842960.000,6072375995.000 ;530842183.000,6072378465.000 
Stadt Flensburg;00638;Uranusweg;;530781465.000,6072372859.000 ;530780761.000,6072374167.000 
Stadt Flensburg;00638;Uranusweg;;530748316.000,6072353976.000 ;530749356.000,6072353556.000 
Stadt Flensburg;00638;Uranusweg;;530766098.000,6072325176.000 ;530756931.000,6072323933.000 
Stadt Flensburg;00638;Uranusweg;;530834209.000,6072302125.000 ;530832277.000,6072303234.000 
Stadt Flensburg;00638;Uranusweg;;530900238.000,6072304789.000 ;530901340.000,6072304832.000 
Stadt Flensburg;00638;Uranusweg;;530867169.000,6072303357.000 ;530868128.000,6072303921.000 
Stadt Flensburg;00434;Neuer Weg;13;530577356.000,6072068870.000 ;530577570.000,6072070091.000 
Stadt Flensburg;00646;Venusbogen;24;530826817.000,6071841939.000 ;530821673.000,6071839331.000 
Stadt Flensburg;00646;Venusbogen;;530800499.000,6071841514.000 ;530797824.000,6071842843.000 
Stadt Flensburg;00646;Venusbogen;;530840822.000,6071821397.000 ;530841470.000,6071819329.000 
Stadt Flensburg;00646;Venusbogen;;530837528.000,6071782680.000 ;530837027.000,6071779846.000 
Stadt Flensburg;00646;Venusbogen;;530815254.000,6071778341.000 ;530810146.000,6071779568.000 
Stadt Flensburg;00646;Venusbogen;;530866108.000,6071779448.000 ;530860668.000,6071780624.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;56;530698056.000,6071782292.000 ;530691339.000,6071781968.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;56;530694732.000,6071806517.000 ;530696322.000,6071805487.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;48;530693800.000,6071838295.000 ;530694160.000,6071840473.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;42;530691341.000,6071882218.000 ;530685065.000,6071879555.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530700105.000,6071891052.000 ;530698156.000,6071888782.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530723557.000,6071891894.000 ;530720586.000,6071889624.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530750222.000,6071892853.000 ;530747415.000,6071893915.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530710733.000,6071813152.000 ;530708105.000,6071814486.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530745022.000,6071814756.000 ;530742266.000,6071815462.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530764792.000,6071831994.000 ;530764784.000,6071833283.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530763685.000,6071863640.000 ;530763108.000,6071864808.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530762631.000,6071882929.000 ;530762052.000,6071884061.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530761753.000,6071914870.000 ;530761287.000,6071916040.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530761166.000,6071939402.000 ;530760563.000,6071940505.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530770233.000,6071771954.000 ;530771245.000,6071771727.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530765638.000,6071794266.000 ;530764935.000,6071795377.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530763481.000,6071786692.000 ;530756455.000,6071786154.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530763205.000,6071788672.000 ;530757145.000,6071789811.000 
Stadt Flensburg;00653;Waldenburger Weg;1;529391344.000,6072164307.000 ;529383656.000,6072163243.000 
Stadt Flensburg;00653;Waldenburger Weg;1;529410998.000,6072179073.000 ;529408195.000,6072181345.000 
Stadt Flensburg;00530;Sudetenweg;5;529420567.000,6072195760.000 ;529423874.000,6072195309.000 
Stadt Flensburg;00530;Sudetenweg;7;529409762.000,6072220930.000 ;529402991.000,6072219434.000 
Stadt Flensburg;00480;Pregelstieg;11;529323194.000,6072077135.000 ;529324318.000,6072076478.000 
Stadt Flensburg;00480;Pregelstieg;6;529311810.000,6072116107.000 ;529313367.000,6072116075.000 
Stadt Flensburg;00434;Neuer Weg;;530745768.000,6072027427.000 ;530748140.000,6072023792.000 
Stadt Flensburg;00424;Merkurstraﬂe;;530759167.000,6072021308.000 ;530758995.000,6072018750.000 
Stadt Flensburg;00434;Neuer Weg;30;530785448.000,6072018834.000 ;530783804.000,6072015627.000 
Stadt Flensburg;00434;Neuer Weg;;530817804.000,6072012414.000 ;530818686.000,6072011948.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530905967.000,6072221525.000 ;530907129.000,6072220215.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530903970.000,6072182133.000 ;530898863.000,6072183802.000 
Stadt Flensburg;00638;Uranusweg;;530777406.000,6072287400.000 ;530779549.000,6072287167.000 
Stadt Flensburg;00638;Uranusweg;;530771527.000,6072296636.000 ;530767199.000,6072293161.000 
Stadt Flensburg;00424;Merkurstraﬂe;;530784082.000,6072259269.000 ;530777156.000,6072258349.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530724886.000,6072267434.000 ;530725764.000,6072269063.000 
Stadt Flensburg;00638;Uranusweg;;530726527.000,6072278697.000 ;530727665.000,6072276105.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530653725.000,6072287805.000 ;530647554.000,6072289080.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530689672.000,6072278994.000 ;530686762.000,6072280769.000 
Stadt Flensburg;00638;Uranusweg;;530799773.000,6072300606.000 ;530798922.000,6072302103.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530873187.000,6072189598.000 ;530870567.000,6072187316.000 
Stadt Flensburg;00329;Klaus-Groth-Straﬂe;13;527170427.000,6070275527.000 ;527168234.000,6070272206.000 
Stadt Flensburg;00190;Friesische Straﬂe;103;527201072.000,6070405241.000 ;527200380.000,6070406365.000 
Stadt Flensburg;00190;Friesische Straﬂe;94;527224003.000,6070416148.000 ;527218411.000,6070412536.000 
Stadt Flensburg;00190;Friesische Straﬂe;107;527163191.000,6070388299.000 ;527164045.000,6070389395.000 
Stadt Flensburg;00190;Friesische Straﬂe;104;527132425.000,6070372227.000 ;527125975.000,6070369294.000 
Stadt Flensburg;00190;Friesische Straﬂe;104;527096771.000,6070350347.000 ;527094159.000,6070352239.000 
Stadt Flensburg;00601;Thomas-Mann-Straﬂe;;526932339.000,6070289601.000 ;526934603.000,6070290279.000 
Stadt Flensburg;00028;Am Ochsenmarkt;;527236121.000,6070442940.000 ;527235396.000,6070444578.000 
Stadt Flensburg;00190;Friesische Straﬂe;;527418862.000,6070485383.000 ;527421303.000,6070485944.000 
Stadt Flensburg;00434;Neuer Weg;;530722888.000,6072040158.000 ;530723632.000,6072039610.000 
Stadt Flensburg;00151;Ernst-Jessen-Weg;;530758934.000,6072259223.000 ;530761032.000,6072259202.000 
Stadt Flensburg;00424;Merkurstraﬂe;;530785679.000,6072226273.000 ;530786520.000,6072225704.000 
Stadt Flensburg;00424;Merkurstraﬂe;;530783738.000,6072198757.000 ;530784506.000,6072198359.000 
Stadt Flensburg;00424;Merkurstraﬂe;;530779428.000,6072169876.000 ;530779443.000,6072170991.000 
Stadt Flensburg;00424;Merkurstraﬂe;;530775843.000,6072141918.000 ;530776833.000,6072140932.000 
Stadt Flensburg;00424;Merkurstraﬂe;40;530771555.000,6072110270.000 ;530772221.000,6072110042.000 
Stadt Flensburg;00424;Merkurstraﬂe;48;530767452.000,6072079183.000 ;530767571.000,6072082234.000 
Stadt Flensburg;00424;Merkurstraﬂe;48;530763713.000,6072051196.000 ;530761735.000,6072051425.000 
Stadt Flensburg;00690;Theodor-Petersen-Weg;;530712352.000,6072054742.000 ;530705651.000,6072054013.000 
Stadt Flensburg;00690;Theodor-Petersen-Weg;;530716104.000,6072087511.000 ;530709324.000,6072085980.000 
Stadt Flensburg;00690;Theodor-Petersen-Weg;;530687486.000,6072114372.000 ;530681749.000,6072116288.000 
Stadt Flensburg;00690;Theodor-Petersen-Weg;;530692041.000,6072147004.000 ;530694277.000,6072146155.000 
Stadt Flensburg;00690;Theodor-Petersen-Weg;;530705875.000,6072097569.000 ;530702002.000,6072096034.000 
Stadt Flensburg;00690;Theodor-Petersen-Weg;;530684619.000,6072104193.000 ;530687131.000,6072103053.000 
Stadt Flensburg;00434;Neuer Weg;;530707980.000,6072042202.000 ;530709056.000,6072040624.000 
Stadt Flensburg;00434;Neuer Weg;;530692185.000,6072045044.000 ;530692640.000,6072046294.000 
Stadt Flensburg;00434;Neuer Weg;;530671498.000,6072049186.000 ;530670553.000,6072050787.000 
Stadt Flensburg;00565;S¸nderup;;530033886.000,6069546964.000 ;530036385.000,6069549463.000 
Stadt Flensburg;00380;Lise-Meitner-Straﬂe;;528410924.000,6068219274.000 ;528409217.000,6068215947.000 
Stadt Flensburg;00380;Lise-Meitner-Straﬂe;;528377837.000,6068218434.000 ;528375172.000,6068214892.000 
Stadt Flensburg;00380;Lise-Meitner-Straﬂe;;528337983.000,6068225497.000 ;528335492.000,6068221737.000 
Stadt Flensburg;00380;Lise-Meitner-Straﬂe;;528297465.000,6068237518.000 ;528294020.000,6068233314.000 
Stadt Flensburg;00380;Lise-Meitner-Straﬂe;;528257350.000,6068251328.000 ;528253695.000,6068247537.000 
Stadt Flensburg;00380;Lise-Meitner-Straﬂe;;528217180.000,6068265348.000 ;528218425.000,6068260503.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530427878.000,6072102856.000 ;530428899.000,6072103115.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;69;530457061.000,6072127158.000 ;530458236.000,6072126540.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530489742.000,6072155210.000 ;530488628.000,6072153038.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530523413.000,6072173760.000 ;530521732.000,6072171492.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;85;530556541.000,6072195258.000 ;530557973.000,6072194956.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;89;530581670.000,6072217507.000 ;530582994.000,6072217390.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530601756.000,6072251371.000 ;530603240.000,6072251798.000 
Stadt Flensburg;00434;Neuer Weg;;530435976.000,6072094089.000 ;530436746.000,6072093590.000 
Stadt Flensburg;00434;Neuer Weg;;530472854.000,6072082790.000 ;530474213.000,6072083801.000 
Stadt Flensburg;00434;Neuer Weg;6;530515505.000,6072083330.000 ;530508908.000,6072082749.000 
Stadt Flensburg;00434;Neuer Weg;4;530492817.000,6072078228.000 ;530490024.000,6072076280.000 
Stadt Flensburg;00434;Neuer Weg;4;530456211.000,6072096253.000 ;530456484.000,6072094362.000 
Stadt Flensburg;00434;Neuer Weg;10;530551791.000,6072065999.000 ;530547923.000,6072068124.000 
Stadt Flensburg;00434;Neuer Weg;10;530532690.000,6072069817.000 ;530532301.000,6072071306.000 
Stadt Flensburg;00091;Brahmsstraﬂe;;530568809.000,6072054319.000 ;530561769.000,6072052467.000 
Stadt Flensburg;00091;Brahmsstraﬂe;;530561989.000,6072019488.000 ;530555295.000,6072020055.000 
Stadt Flensburg;00434;Neuer Weg;20;530651911.000,6072053662.000 ;530645255.000,6072053147.000 
Stadt Flensburg;00434;Neuer Weg;16;530612850.000,6072061376.000 ;530605934.000,6072061045.000 
Stadt Flensburg;00434;Neuer Weg;18;530632204.000,6072057430.000 ;530629061.000,6072059419.000 
Stadt Flensburg;00434;Neuer Weg;15;530597305.000,6072064647.000 ;530590650.000,6072064272.000 
Stadt Flensburg;00708;Willi-Sander-Platz;1;529087775.000,6072193109.000 ;529081115.000,6072191787.000 
Stadt Flensburg;00418;M¸hlenholz;;528973862.000,6072044074.000 ;528971685.000,6072040375.000 
Stadt Flensburg;00418;M¸hlenholz;;528991842.000,6072034277.000 ;528991690.000,6072029905.000 
Stadt Flensburg;00418;M¸hlenholz;;529018458.000,6072022088.000 ;529017845.000,6072019172.000 
Stadt Flensburg;00418;M¸hlenholz;27;529027472.000,6072061975.000 ;529029411.000,6072061504.000 
Stadt Flensburg;00546;Schleswiger Straﬂe;;528032478.000,6068011896.000 ;528026551.000,6068009870.000 
Stadt Flensburg;00673;Weberstraﬂe;10;530398188.000,6071901796.000 ;530396950.000,6071903911.000 
Stadt Flensburg;00673;Weberstraﬂe;;530370980.000,6071895963.000 ;530372109.000,6071894197.000 
Stadt Flensburg;00673;Weberstraﬂe;18;530352549.000,6071869145.000 ;530356104.000,6071868873.000 
Stadt Flensburg;00415;Mozartstraﬂe;;530311132.000,6071765448.000 ;530304544.000,6071765777.000 
Stadt Flensburg;00415;Mozartstraﬂe;;530289644.000,6071795963.000 ;530282909.000,6071797048.000 
Stadt Flensburg;00415;Mozartstraﬂe;;530273960.000,6071820045.000 ;530271833.000,6071816068.000 
Stadt Flensburg;00415;Mozartstraﬂe;;530259656.000,6071840266.000 ;530256742.000,6071837097.000 
Stadt Flensburg;00415;Mozartstraﬂe;;530241174.000,6071867798.000 ;530235312.000,6071867268.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530334067.000,6071974117.000 ;530334701.000,6071974908.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530308674.000,6071941420.000 ;530309552.000,6071940380.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530268076.000,6071915118.000 ;530261788.000,6071916878.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530236353.000,6071890921.000 ;530232017.000,6071892492.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530203568.000,6071865248.000 ;530201104.000,6071862520.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530356409.000,6072009088.000 ;530357824.000,6072009347.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530166316.000,6071846135.000 ;530166570.000,6071843034.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530134044.000,6071828120.000 ;530135528.000,6071828131.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530127616.000,6071835645.000 ;530130894.000,6071837138.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530126906.000,6071869254.000 ;530122392.000,6071870347.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;19a;530125389.000,6071902199.000 ;530120728.000,6071903854.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;19a;530124407.000,6071933040.000 ;530119330.000,6071934247.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530039810.000,6071784576.000 ;530040656.000,6071782838.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530069799.000,6071795923.000 ;530070685.000,6071794580.000 
Stadt Flensburg;00147;Engelsbyer Straﬂe;;530101468.000,6071808898.000 ;530102468.000,6071808398.000 
Stadt Flensburg;00646;Venusbogen;;530882966.000,6071788686.000 ;530874221.000,6071788159.000 
Stadt Flensburg;00646;Venusbogen;;530904381.000,6071794750.000 ;530899336.000,6071792789.000 
Stadt Flensburg;00646;Venusbogen;;530920014.000,6071829258.000 ;530912141.000,6071828718.000 
Stadt Flensburg;00646;Venusbogen;;530919678.000,6071807136.000 ;530912245.000,6071808248.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530760957.000,6071965105.000 ;530760728.000,6071962629.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530758578.000,6071994295.000 ;530758314.000,6071995428.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530754507.000,6072003005.000 ;530748593.000,6072000612.000 
Stadt Flensburg;00389;Max-Reger-Straﬂe;;530755415.000,6072008003.000 ;530748992.000,6072006573.000 
Stadt Flensburg;00218;Glatzer Weg;;529346484.000,6072222054.000 ;529345111.000,6072219582.000 
Stadt Flensburg;00218;Glatzer Weg;4;529374580.000,6072239432.000 ;529367218.000,6072240096.000 
Stadt Flensburg;00462;Ostlandstraﬂe;;529395753.000,6072074074.000 ;529394499.000,6072071914.000 
Stadt Flensburg;00431;Neiﬂestieg;17;529374459.000,6072068921.000 ;529372347.000,6072065652.000 
Stadt Flensburg;00431;Neiﬂestieg;15;529352165.000,6072060728.000 ;529350057.000,6072058417.000 
Stadt Flensburg;00431;Neiﬂestieg;11;529341036.000,6072046560.000 ;529336255.000,6072044156.000 
Stadt Flensburg;00431;Neiﬂestieg;9;529346621.000,6072026236.000 ;529341465.000,6072023188.000 
Stadt Flensburg;00197;Fruerlundl¸cke;12;529328761.000,6072168487.000 ;529322709.000,6072167829.000 
Stadt Flensburg;00197;Fruerlundl¸cke;;529297035.000,6072157211.000 ;529290809.000,6072157847.000 
Stadt Flensburg;00660;Weichselstieg;1;529265425.000,6072148239.000 ;529261684.000,6072150561.000 
Stadt Flensburg;00457;Oderstieg;1;529231122.000,6072142730.000 ;529223113.000,6072146124.000 
Stadt Flensburg;00138;Egerstieg;1;529196229.000,6072143486.000 ;529194057.000,6072147117.000 
Stadt Flensburg;00197;Fruerlundl¸cke;4;529157536.000,6072148189.000 ;529156402.000,6072151127.000 
Stadt Flensburg;00708;Willi-Sander-Platz;6;529123167.000,6072175183.000 ;529121757.000,6072178660.000 
Stadt Flensburg;00708;Willi-Sander-Platz;4;529105501.000,6072184205.000 ;529100391.000,6072181887.000 
Stadt Flensburg;00418;M¸hlenholz;31;529036701.000,6072104318.000 ;529036258.000,6072105326.000 
Stadt Flensburg;00418;M¸hlenholz;31;529042107.000,6072145206.000 ;529035293.000,6072141192.000 
Stadt Flensburg;00418;M¸hlenholz;31;529032804.000,6072153220.000 ;529030200.000,6072150557.000 
Stadt Flensburg;00418;M¸hlenholz;31;529018802.000,6072154447.000 ;529018044.000,6072152134.000 
Stadt Flensburg;00418;M¸hlenholz;31;529007095.000,6072156157.000 ;529003391.000,6072158175.000 
Stadt Flensburg;00418;M¸hlenholz;31;529053774.000,6072167623.000 ;529054582.000,6072166794.000 
Stadt Flensburg;00418;M¸hlenholz;31;529062174.000,6072182742.000 ;529061444.000,6072180652.000 
Stadt Flensburg;00418;M¸hlenholz;31;529071750.000,6072200730.000 ;529070646.000,6072198478.000 
Stadt Flensburg;00418;M¸hlenholz;31;529082573.000,6072221064.000 ;529079904.000,6072216610.000 
Stadt Flensburg;00418;M¸hlenholz;31;529101725.000,6072257041.000 ;529102292.000,6072256710.000 
Stadt Flensburg;00418;M¸hlenholz;31;529082146.000,6072165576.000 ;529076154.000,6072167787.000 
Stadt Flensburg;00708;Willi-Sander-Platz;8;529117770.000,6072161022.000 ;529118591.000,6072161591.000 
Stadt Flensburg;00708;Willi-Sander-Platz;10;529099915.000,6072163259.000 ;529101822.000,6072163910.000 
Stadt Flensburg;00143;Eiderstraﬂe;;529591350.000,6072550735.000 ;529585607.000,6072552515.000 
Stadt Flensburg;00008;Alsterbogen;2;529605478.000,6072533333.000 ;529605138.000,6072535035.000 
Stadt Flensburg;00143;Eiderstraﬂe;;529623372.000,6072538648.000 ;529623527.000,6072539977.000 
Stadt Flensburg;00143;Eiderstraﬂe;26;529656615.000,6072531530.000 ;529659473.000,6072532271.000 
Stadt Flensburg;00143;Eiderstraﬂe;14;529489720.000,6072612055.000 ;529491334.000,6072612532.000 
Stadt Flensburg;00143;Eiderstraﬂe;22;529553603.000,6072569587.000 ;529552617.000,6072570794.000 
Stadt Flensburg;00143;Eiderstraﬂe;16;529516816.000,6072590841.000 ;529517959.000,6072592594.000 
Stadt Flensburg;00611;Treeneweg;;529487671.000,6072590634.000 ;529489283.000,6072589411.000 
Stadt Flensburg;00611;Treeneweg;;529457340.000,6072558773.000 ;529459884.000,6072556410.000 
Stadt Flensburg;00611;Treeneweg;;529438424.000,6072521600.000 ;529434185.000,6072524763.000 
Stadt Flensburg;00142;Eiderhof;6;529422944.000,6072589810.000 ;529417929.000,6072584987.000 
Stadt Flensburg;00142;Eiderhof;2a;529445954.000,6072622668.000 ;529443475.000,6072615960.000 
Stadt Flensburg;00143;Eiderstraﬂe;8;529467817.000,6072649140.000 ;529468136.000,6072650307.000 
Stadt Flensburg;00143;Eiderstraﬂe;4;529482239.000,6072684435.000 ;529483782.000,6072685004.000 
Stadt Flensburg;00143;Eiderstraﬂe;;529498130.000,6072714924.000 ;529497047.000,6072711548.000 
Stadt Flensburg;00610;Travestraﬂe;;529505673.000,6072739586.000 ;529501627.000,6072735631.000 
Stadt Flensburg;00610;Travestraﬂe;;529522709.000,6072746469.000 ;529521896.000,6072743647.000 
Stadt Flensburg;00610;Travestraﬂe;;529533088.000,6072725892.000 ;529532244.000,6072727143.000 
Stadt Flensburg;00610;Travestraﬂe;5;529560270.000,6072709773.000 ;529553201.000,6072707732.000 
Stadt Flensburg;00610;Travestraﬂe;;529593564.000,6072704212.000 ;529590796.000,6072700993.000 
Stadt Flensburg;00610;Travestraﬂe;;529629344.000,6072705862.000 ;529626959.000,6072703562.000 
Stadt Flensburg;00610;Travestraﬂe;;529658880.000,6072705615.000 ;529650535.000,6072702943.000 
Stadt Flensburg;00545;Schleibogen;;529687339.000,6072709679.000 ;529687565.000,6072710561.000 
Stadt Flensburg;00561;Schwentineweg;;529698284.000,6072716381.000 ;529691641.000,6072716646.000 
Stadt Flensburg;00561;Schwentineweg;;529697289.000,6072753441.000 ;529689261.000,6072753621.000 
Stadt Flensburg;00545;Schleibogen;;529720706.000,6072715176.000 ;529714782.000,6072713347.000 
Stadt Flensburg;00545;Schleibogen;13;529758499.000,6072720854.000 ;529755609.000,6072723312.000 
Stadt Flensburg;00545;Schleibogen;;529781262.000,6072726046.000 ;529780291.000,6072727764.000 
Stadt Flensburg;00545;Schleibogen;;529860350.000,6072734514.000 ;529855117.000,6072737137.000 
Stadt Flensburg;00545;Schleibogen;;529840849.000,6072727287.000 ;529841985.000,6072727073.000 
Stadt Flensburg;00154;Elbestraﬂe;;529887701.000,6072737688.000 ;529880512.000,6072738120.000 
Stadt Flensburg;00154;Elbestraﬂe;;529898345.000,6072710670.000 ;529893323.000,6072708183.000 
Stadt Flensburg;00154;Elbestraﬂe;;529906610.000,6072682512.000 ;529899629.000,6072683960.000 
Stadt Flensburg;00143;Eiderstraﬂe;;529899482.000,6072604560.000 ;529894128.000,6072605920.000 
Stadt Flensburg;00143;Eiderstraﬂe;60;529881997.000,6072596470.000 ;529883550.000,6072592682.000 
Stadt Flensburg;00143;Eiderstraﬂe;52;529842125.000,6072574695.000 ;529843695.000,6072571316.000 
Stadt Flensburg;00143;Eiderstraﬂe;41;529806892.000,6072551417.000 ;529809099.000,6072548356.000 
Stadt Flensburg;00610;Travestraﬂe;34;529793940.000,6072540442.000 ;529786311.000,6072537426.000 
Stadt Flensburg;00610;Travestraﬂe;34;529805456.000,6072514938.000 ;529797916.000,6072511737.000 
Stadt Flensburg;00143;Eiderstraﬂe;;529787750.000,6072545205.000 ;529784480.000,6072546534.000 
Stadt Flensburg;00610;Travestraﬂe;;529791009.000,6072570564.000 ;529789899.000,6072567297.000 
Stadt Flensburg;00610;Travestraﬂe;;529780487.000,6072597413.000 ;529781793.000,6072597696.000 
Stadt Flensburg;00610;Travestraﬂe;33;529767467.000,6072623561.000 ;529769340.000,6072623222.000 
Stadt Flensburg;00610;Travestraﬂe;29;529753193.000,6072653296.000 ;529754814.000,6072654575.000 
Stadt Flensburg;00610;Travestraﬂe;29;529734031.000,6072675042.000 ;529734023.000,6072676382.000 
Stadt Flensburg;00610;Travestraﬂe;23;529713185.000,6072694132.000 ;529706368.000,6072693904.000 
Stadt Flensburg;00143;Eiderstraﬂe;46;529758044.000,6072536065.000 ;529757957.000,6072538744.000 
