Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;19a;525744863.000,6067726471.000 ;525736761.000,6067725500.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;19;525708651.000,6067708538.000 ;525708164.000,6067711443.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;12;525636945.000,6067796944.000 ;525634085.000,6067793779.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;13;525658601.000,6067769636.000 ;525649286.000,6067766925.000 
Stadt Flensburg;00355;L‰ngs der Bahn;4d;525569683.000,6067736932.000 ;525562384.000,6067737487.000 
Stadt Flensburg;00451;Nikolaus-Matthiesen-Str.;;525581488.000,6067766805.000 ;525571038.000,6067767326.000 
Stadt Flensburg;00355;L‰ngs der Bahn;4a;525531444.000,6067783295.000 ;525524240.000,6067783961.000 
Stadt Flensburg;00355;L‰ngs der Bahn;25;525409555.000,6067652124.000 ;525405171.000,6067655501.000 
Stadt Flensburg;00355;L‰ngs der Bahn;25;525554126.000,6067807398.000 ;525555513.000,6067804166.000 
Stadt Flensburg;00615;Trollseeweg;;527504695.000,6073452377.000 ;527507194.000,6073454876.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527595440.000,6073520483.000 ;527588889.000,6073520575.000 
Stadt Flensburg;00615;Trollseeweg;;527498692.000,6073478800.000 ;527501191.000,6073481299.000 
Stadt Flensburg;00615;Trollseeweg;;527462503.000,6073454985.000 ;527465002.000,6073457485.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527608106.000,6073298676.000 ;527608511.000,6073300850.000 
Stadt Flensburg;00615;Trollseeweg;;527538907.000,6073385185.000 ;527542032.000,6073388109.000 
Stadt Flensburg;00615;Trollseeweg;;527502017.000,6073372266.000 ;527504516.000,6073374765.000 
Stadt Flensburg;00463;Ostseebadweg;;527560008.000,6073643785.000 ;527555799.000,6073644894.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527567830.000,6073608347.000 ;527563058.000,6073609393.000 
Stadt Flensburg;00029;Am Ostseebad;1a;527542935.000,6073718777.000 ;527545001.000,6073718871.000 
Stadt Flensburg;00068;Batteriestraﬂe;52;527717419.000,6073309726.000 ;527718941.000,6073311640.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527577685.000,6073634672.000 ;527578550.000,6073633975.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527621078.000,6073653088.000 ;527622442.000,6073652750.000 
Stadt Flensburg;00463;Ostseebadweg;51;527466953.000,6073627732.000 ;527463866.000,6073629718.000 
Stadt Flensburg;00463;Ostseebadweg;53;527480462.000,6073633390.000 ;527477538.000,6073634670.000 
Stadt Flensburg;00463;Ostseebadweg;55;527497652.000,6073641058.000 ;527497503.000,6073644350.000 
Stadt Flensburg;00463;Ostseebadweg;57a;527518750.000,6073649513.000 ;527519063.000,6073652214.000 
Stadt Flensburg;00463;Ostseebadweg;57;527503066.000,6073643560.000 ;527499884.000,6073645651.000 
Stadt Flensburg;00029;Am Ostseebad;;527610564.000,6073835493.000 ;527612104.000,6073835006.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527582925.000,6073575432.000 ;527587253.000,6073574934.000 
Stadt Flensburg;00068;Batteriestraﬂe;;527598226.000,6073544900.000 ;527601881.000,6073547014.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527096626.000,6074091183.000 ;527095037.000,6074092438.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527105122.000,6074091101.000 ;527102003.000,6074088490.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527089852.000,6074083975.000 ;527083048.000,6074084933.000 
Stadt Flensburg;00425;Mads-Clausen-Straﬂe;;527089684.000,6074080993.000 ;527082562.000,6074081129.000 
